127.0.0.1 - - [29/Mar/2017:11:01:19 +0800] "GET / HTTP/1.1" 404 955
0:0:0:0:0:0:0:1 - - [29/Mar/2017:11:01:22 +0800] "GET /manager/usermanage.jsp HTTP/1.1" 200 13743
0:0:0:0:0:0:0:1 - - [29/Mar/2017:11:01:22 +0800] "GET /manager/modules/labelinput/labelinput.js HTTP/1.1" 200 5730
0:0:0:0:0:0:0:1 - - [29/Mar/2017:11:01:22 +0800] "GET /manager/modules/leftmenu/leftmenu.js HTTP/1.1" 200 4224
192.168.2.100 - - [29/Mar/2017:11:01:32 +0800] "GET /manager/ HTTP/1.1" 200 5757
192.168.2.100 - - [29/Mar/2017:11:01:33 +0800] "GET /manager/modules/dialog/dialog.js HTTP/1.1" 304 -
192.168.2.100 - - [29/Mar/2017:11:01:33 +0800] "GET /manager/modules/labelinput/labelinput.js HTTP/1.1" 304 -
192.168.2.100 - - [29/Mar/2017:11:01:33 +0800] "GET /manager/modules/mainframe/mainframe.js HTTP/1.1" 304 -
192.168.2.100 - - [29/Mar/2017:11:01:33 +0800] "GET /manager/modules/frametop/frametop.js HTTP/1.1" 304 -
192.168.2.100 - - [29/Mar/2017:11:01:33 +0800] "GET /manager/modules/leftmenu/leftmenu.js HTTP/1.1" 304 -
192.168.2.100 - - [29/Mar/2017:11:01:33 +0800] "GET /manager/modules/button/button.js HTTP/1.1" 304 -
192.168.2.100 - - [29/Mar/2017:11:01:33 +0800] "GET /manager/modules/datagrid/datagrid.js HTTP/1.1" 304 -
192.168.2.100 - - [29/Mar/2017:11:01:33 +0800] "GET /manager/modules/labelinput/labelinput.css HTTP/1.1" 304 -
192.168.2.100 - - [29/Mar/2017:11:01:33 +0800] "GET /manager/modules/chgpwd/chgpwd.css HTTP/1.1" 304 -
192.168.2.100 - - [29/Mar/2017:11:01:34 +0800] "GET /manager/checkimg.html HTTP/1.1" 200 1270
192.168.2.100 - - [29/Mar/2017:11:01:34 +0800] "GET /favicon.ico HTTP/1.1" 404 988
192.168.2.100 - - [29/Mar/2017:11:06:28 +0800] "GET /manager/ HTTP/1.1" 200 5757
192.168.2.100 - - [29/Mar/2017:11:06:28 +0800] "GET /manager/css/jquery-ui.min.css HTTP/1.1" 200 27848
192.168.2.100 - - [29/Mar/2017:11:06:29 +0800] "GET /manager/css/global.css HTTP/1.1" 200 1098
192.168.2.100 - - [29/Mar/2017:11:06:29 +0800] "GET /manager/css/combox.css HTTP/1.1" 200 284
192.168.2.100 - - [29/Mar/2017:11:06:29 +0800] "GET /manager/css/jquery-ui-timepicker-addon.css HTTP/1.1" 200 1705
192.168.2.100 - - [29/Mar/2017:11:06:29 +0800] "GET /manager/js/jquery-1.7.2.min.js HTTP/1.1" 200 94840
192.168.2.100 - - [29/Mar/2017:11:06:29 +0800] "GET /manager/css/SimpleGrid.css HTTP/1.1" 200 1030
